LANDING_YEAR,PACFIN_SPECIES_CODE,PACFIN_SPECIES_COMMON_NAME,FIRST_QTR_LANDED_WEIGHT_MTONS,FIRST_QTR_EXVESSEL_REVENUE,FIRST_QTR_LANDED_PPP,FIRST_QTR_NUMBER_OF_VESSELS,FIRST_QTR_NUMBER_OF_DEALERS,FIRST_QTR_CONFIDENTIAL_FLAG,SECOND_QTR_LANDED_WEIGHT_MTONS,SECOND_QTR_EXVESSEL_REVENUE,SECOND_QTR_LANDED_PPP,SECOND_QTR_NUMBER_OF_VESSELS,SECOND_QTR_NUMBER_OF_DEALERS,SECOND_QTR_CONFIDENTIAL_FLAG,THIRD_QTR_LANDED_WEIGHT_MTONS,THIRD_QTR_EXVESSEL_REVENUE,THIRD_QTR_LANDED_PPP,THIRD_QTR_NUMBER_OF_VESSELS,THIRD_QTR_NUMBER_OF_DEALERS,THIRD_QTR_CONFIDENTIAL_FLAG,FOURTH_QTR_LANDED_WEIGHT_MTONS,FOURTH_QTR_EXVESSEL_REVENUE,FOURTH_QTR_LANDED_PPP,FOURTH_QTR_NUMBER_OF_VESSELS,FOURTH_QTR_NUMBER_OF_DEALERS,FOURTH_QTR_CONFIDENTIAL_FLAG
2001,UMCK,UNSP. MACKEREL,0,0,0,0,0, ,,,,6,2,*,341.36,36768.05,0.05,22,8, ,0.41,448.04,0.5,5,4, 
2002,CMCK,CHUB MACKEREL,403.22,71685.18,0.08,52,22, ,820.67,99797.5,0.06,44,25, ,1183.56,172060.33,0.07,52,24, ,1085.68,145449.68,0.06,32,15, 
2002,JMCK,JACK MACKEREL,163.42,27451.1,0.08,25,9, ,407.66,65626.08,0.07,35,16, ,397.55,98783.21,0.11,52,21, ,55.45,11697.63,0.1,10,7, 
2002,MSQD,MARKET SQUID,32184,7268839.97,0.1,96,27, ,18729.17,5053765.41,0.12,73,28, ,7072.01,1789251.8,0.11,40,18, ,14893.66,4139834.42,0.13,85,34, 
2002,NANC,NORTHERN ANCHOVY,1975.29,144094.95,0.03,24,9, ,1126.28,167186.9,0.07,28,18, ,1501.52,274886.38,0.08,27,17, ,272.13,37110.24,0.06,14,11, 
2002,PSDN,PACIFIC SARDINE,17974.37,1717972.46,0.04,54,16, ,10165.13,1085612.01,0.05,55,24, ,49120.16,5544542.59,0.05,68,31, ,19636.03,2015506.58,0.05,57,25, 
2002,UMCK,UNSP. MACKEREL,1.37,1292.25,0.43,6,6, ,0.18,122.95,0.32,6,5, ,238.12,28111.91,0.05,20,7, ,10.28,1383.15,0.06,4,3, 
2003,CMCK,CHUB MACKEREL,279.21,41251.54,0.07,39,18, ,133.83,26852.28,0.09,29,19, ,2401.7,354506,0.07,41,23, ,1344.48,219703.01,0.07,34,18, 
2003,JMCK,JACK MACKEREL,27.33,6008.48,0.1,8,6, ,48.35,16838.9,0.16,34,12, ,69.64,2522.23,0.02,38,17, ,86.16,30844.18,0.16,21,8, 
2003,MSQD,MARKET SQUID,1959.12,1007742.67,0.23,51,23, ,5631.92,3130643.6,0.25,85,33, ,9098.47,5109419.58,0.25,72,33, ,28383.19,16135681.36,0.26,107,30, 
2003,NANC,NORTHERN ANCHOVY,312.4,33444.49,0.05,12,10, ,687.46,128378.8,0.08,22,16, ,313.77,120902.39,0.17,13,13, ,614.95,59026.26,0.04,11,11, 
